"fromName","ethSpent","usdSpent"
"0x60940e44372ab21e66e30494c9f09b4e154b5143 (anon)",0.00409534727226328,12.62
"0x6432c098bfeda15dd4d0692c46bdb43091a95171 (anon)",0.0056692,24.36
"0x66300889afb808626498c28e3811bb9b06a014ad (anon)",0.0127705920337067,35.46
"0x66aa8bee5366b6b48811ae0dac9fe5e1eefe1621 (Grant 0049 Blockchain Education Network (ben))",0.00779458785353726,32.34
"0x66b1de0f14a0ce971f7f248415063d44caf19398 (Grant 0666 the Fit Bot)",0.0154638094331451,51.5
"0x66c9bbef586c3a328df34aaa3f2e882634f308a1 (anon)",0.00084089335503183,1.73
"0x66ccc53383dd8f6b8d4d145d057696cefe5dcf42 (anon)",0.00113384,2.93
"0x66eae57797dbd63921e1ddb4dee25e9f4b22bc35 (anon)",0.00561885564946295,17.37
"0x67149c6a2aa490636948b084d88dde8a958ca269 (anon)",0.004818012048167,12.46
"0x67434e4f16fb70e59c91b8642522fac5b0c292c1 (anon)",0.00101688003292381,2.01
"0x6806f5a7d35f6b31f8cee5799fa7f70571b0d2b6 (anon)",0.00524681285984996,16.16
"0x687c13498f693b290c5ff8c565a1775d6018aab9 (anon)",0.0018506096916719,3.38
"0x69423a88dbeab0177e935a5c63a79f5e576f5c06 (anon)",0.000921245,1.9
"0x696ceb745c4e909e872c9a5824a708154e44307a (anon)",0.00569356726111868,17.62
"0x6a7507970726809f79950d2cee4404b53acbd07b (anon)",0.00441145079210308,13.63
"0x6b07d4ace5bc9a690fda9ddeb5a0f131fda0b257 (anon)",0.00384457976931398,7.69
"0x6bf1eba9740441d0a8822eda4e116a74f850d81b (Grant 2929 - Decentralize Gitcoin Grants)",0.218445854381075,796.3
"0x6bf3b32c6cd3d657f602347666244377793282e3 (anon)",0.00099770292537849,2.02
"0x6c51a5ef1b6736b63c965b3057ae5c5b50de76d3 (anon)",0.00547212320693982,17.86
"0x6cf42e7e57b83aec88621173cdbe20d2261845d0 (anon)",0.00658357483915227,20.28
"0x6d009586634bc3260c658126cf95c1cc732fddc2 (anon)",0.00220715048443393,5.69
"0x6d44f7fadaa7464fcb6c232693e4d889888066c9 (anon)",0.00410068231586747,12.63
"0x6e03f76fb77c3b27a1742bbab1ffa6ab4907ed5b (anon)",0.00429512682187161,13.23
"0x6e8dd1c86151f7e98bd2d059206581f0d5017ce6 (anon)",0.00113384,2.93
"0x6ea58a23d84b3839ea61d81c45d60acf2017999c (anon)",0.00113384,2.93
"0x6f1fd6ba42f11799913e6a91b6458ea9cd6887ca (anon)",0.00429533724280427,13.27
"0x6f2bbbdf4e93aa39d36933d28ac2b1253a17aa85 (anon)",0.0021196066380109,6.66
"0x7003d62e923e647658d274bf967b47696a69e574 (anon)",0.00419423216613147,12.96
"0x721c7fffe9ac426a028e616677811f755fa99eba (anon)",0.00234208236685856,7.57
"0x729d418146e2abbe73e7fc480f358bce454cd2c7 (anon)",0.00596287651053187,18.44
"0x72c8353cdd7dc1f3d240a699042e8e63a4e0eb9d (anon)",0.00570890948188723,17.65
"0x7302c7e150ae4d035cf9e71f09580d59ce61fa54 (anon)",0.00113384,3.11
"0x73186b2a81952c2340c4eb2e74e89869e1183df0 (amy-jung)",0.0190805315554931,73.13
"0x732c97e0f9b6386961e797c4914517a96ecfaec7 (anon)",0.00113384,2.93
"0x736a794e2cd1b042e41b416e5e2083584bea2712 (anon)",0.00419311883942302,12.96
"0x73ff47c09efa4a2cb385c730a4adff967321b93d (anon)",0.00741974813845114,22.86
"0x744208576858aa6bfcd705beb4f8d0b45bbb8d4d (anon)",0.00444220595882354,13.73
"0x74959bf4bac22664f7d0fd03596e7d3da397c009 (anon)",0.00578661262032962,17.83
"0x74999ec4c27daaedaa9a953ed371f640c911ec38 (anon)",0.00685353499358242,21.18
"0x755740595c3c8539ec99019f93ee3e964db63739 (anon)",0.00214518416490651,6.89
"0x7561d093b584d5b3f9e8969f6a70acbfef58d249 (anon)",0.0066016939667401,20.42
"0x767a60f295aedd958932088f9cd6a4951d8739b6 (anon)",0.00314476652054985,8.38
"0x77bd9e328b427889fa23bd3b13ea8824c1f24bb2 (anon)",0.00675839567254902,20.9
"0x78b3367b0f547cd16bac453f788956afce92447b (anon)",0.00590157281356861,15.59
"0x792db1912ffb4feed8559189a6cdd10d853e1b13 (anon)",0.0020113769063469,6.44
"0x79d8e884ac95196d0ed622dcb2bf12bb0b70a8c3 (anon)",0.0024062832885882,7.73
"0x7ab89e577bce4c35ecd7546f758f1c41f9777ccf (anon)",0.00465371339210951,14.34
"0x7ad649a20f03d7572407a9f58c92f5f72320142d (anon)",0.00113384,2.93
"0x7aff62aeef41384409717537a7eefaab7318ce6f (anon)",0.00637706483592566,19.64
"0x7e052ef7b4bb7e5a45f331128afadb1e589deaf1 (anon)",0.116297553430887,325.92
"0x7e3f41e32b85799c75327f883362af32a2d3e7e4 (anon)",0.00440901244246698,13.58
"0x7e49a9563601eaaad6794658355516e4ce7539f3 (anon)",0.00411204445465036,12.71
"0x8073c62366973b9960f4561f6a72c5826b75e828 (anon)",0.00849547451249722,32.84
"0x8091b4a9226080e8f17fd9444710b1799fbac3ed (anon)",0.00203647038603293,6.55
"0x809c9f8dd8ca93a41c3adca4972fa234c28f7714 (anon)",0.00723476347775044,25.45
"0x809fa673fe2ab515faa168259cb14e2bedebf68e (anon)",0.0156646694054211,50
"0x80d63799b1e08a80f73fb7a83264b5c31600bf3a (GitCoin Grant Sender)",0.537100114044,1826.69
"0x815c7ccf2616ad581e4d55d1504a676f55c04e02 (anon)",0.00113384,2.93
"0x834742dde5dfd852ee151914c89505f68af161be (anon)",0.00894389905391439,29.84
"0x839395e20bbb182fa440d08f850e6c7a8f6f0780 (Griff Green)",0.123650181051078,430.32
"0x83c9440dc34da00c47a0d4dc2b598d7bdb1b53f7 (anon)",0.00295087786680891,7.51
"0x83d2e472495f408bd0bc85702f4be5ef1acaee80 (anon)",0.00134557501510185,2.66
"0x83ff22cfc4876cdffb69f7440651720ce256d615 (anon)",0.00113384,2.93
"0x86505baa2ffac3444fbb9a53c6c75833d088c6c6 (anon)",0.00082145007693536,1.69
"0x86a233b93556c7e475304c4429d89b9f6958ec6d (anon)",0.00186039362336698,5.98
"0x874437b5a42aa6e6419ec2447c9e36c278c46532 (anon)",0.00397766365533365,12.51
"0x883753beab357a2c29f3766c6ad158e72a78ce51 (anon)",0.004218852,13.27
"0x885ac62415e534665e80ca205290a3798da91159 (anon)",0.00443064332594805,13.69
"0x891d6d5af0f2abeca7939600a8537dfee68c8da7 (anon)",0.0020413460280345,6.1
"0x894aa5f1e45454677a8560dde3b45cb5c427ef92 (anon)",0.0101450308894656,19.97
"0x8aef1645d9c40e5e0b770077e3a595175f28a4e7 (anon)",0.00664073045647804,20.54
"0x8c69f8d2f360d0bd12cb73b92e90a380e32987bb (anon)",0.00862854886626755,28.96
"0x8cc2c2b764d5a0e76e45af8bd037bd989a16b2c9 (anon)",0.00563952349034972,17.37
"0x8d07d225a769b7af3a923481e1fdf49180e6a265 (anon)",0.118732174045854,420.81
"0x8e52ded086f3673a9a87bb039fdb05dbd7c97bfb (anon)",0.0019118381213028,4.95
