DATE	ENDBLOCK
10/30/17	4460729
10/31/17	4467004
11/1/17	4473146
11/2/17	4479290
11/3/17	4485498
11/4/17	4491694
11/5/17	4497993
11/6/17	4504192
11/7/17	4510403
11/8/17	4516639
11/9/17	4522834
11/10/17	4529134
11/11/17	4535401
11/12/17	4541646
11/13/17	4547871
11/14/17	4553993
11/15/17	4560230
11/16/17	4566384
11/17/17	4572619
11/18/17	4578834
11/19/17	4585100
11/20/17	4591276
11/21/17	4597450
11/22/17	4603692
11/23/17	4609882
11/24/17	4616116
11/25/17	4622317
11/26/17	4628486
11/27/17	4634572
11/28/17	4640666
11/29/17	4646774
11/30/17	4652925
12/1/17	4659052
12/2/17	4665105
12/3/17	4671134
12/4/17	4676805
12/5/17	4682393
12/6/17	4687866
12/7/17	4693664
12/8/17	4699467
12/9/17	4705280
12/10/17	4711061
12/11/17	4716810
12/12/17	4722525
12/13/17	4728184
12/14/17	4733878
12/15/17	4739678
12/16/17	4745453
12/17/17	4751234
12/18/17	4757015
12/19/17	4762619
12/20/17	4768190
12/21/17	4773760
12/22/17	4779412
12/23/17	4785359
12/24/17	4791340
12/25/17	4797372
12/26/17	4803364
12/27/17	4809330
12/28/17	4815219
12/29/17	4821005
12/30/17	4826778
12/31/17	4832685
1/1/18	4838611
1/2/18	4844361
1/3/18	4849901
1/4/18	4855355
1/5/18	4860696
1/6/18	4866112
1/7/18	4871640
1/8/18	4877048
1/9/18	4882425
1/10/18	4887840
1/11/18	4893270
1/12/18	4898689
1/13/18	4904083
1/14/18	4909708
1/15/18	4915132
1/16/18	4920654
1/17/18	4926226
1/18/18	4931795
1/19/18	4937480
1/20/18	4943353
1/21/18	4949163
1/22/18	4955046
1/23/18	4960944
1/24/18	4966905
1/25/18	4972815
1/26/18	4978725
1/27/18	4984729
1/28/18	4990746
1/29/18	4996671
1/30/18	5002538
1/31/18	5008421
2/1/18	5014199
2/2/18	5020064
2/3/18	5026037
2/4/18	5031997
2/5/18	5038022
2/6/18	5043948
2/7/18	5049861
2/8/18	5055863
2/9/18	5061799
2/10/18	5067821
2/11/18	5073776
2/12/18	5079721
2/13/18	5085686
2/14/18	5091546
2/15/18	5097512
2/16/18	5103470
2/17/18	5109506
2/18/18	5115490
2/19/18	5121388
2/20/18	5127202
2/21/18	5133051
2/22/18	5138924
2/23/18	5144850
2/24/18	5150700
2/25/18	5156558
2/26/18	5162361
2/27/18	5168226
2/28/18	5174124
3/1/18	5180003
3/2/18	5185902
3/3/18	5191851
3/4/18	5197732
3/5/18	5203617
3/6/18	5209507
3/7/18	5215422
3/8/18	5221278
3/9/18	5227176
3/10/18	5233069
3/11/18	5239026
3/12/18	5244849
3/13/18	5250714
3/14/18	5256557
3/15/18	5262438
3/16/18	5268356
3/17/18	5274212
3/18/18	5280145
3/19/18	5286106
3/20/18	5292065
3/21/18	5297999
3/22/18	5304013
3/23/18	5309981
3/24/18	5316039
3/25/18	5322063
3/26/18	5328067
3/27/18	5333990
3/28/18	5339939
3/29/18	5345806
3/30/18	5351744
3/31/18	5357794
4/1/18	5363810
4/2/18	5369904
4/3/18	5375903
4/4/18	5381904
4/5/18	5387960
4/6/18	5394011
4/7/18	5400060
4/8/18	5406118
4/9/18	5412113
4/10/18	5418186
4/11/18	5424148
4/12/18	5430046
4/13/18	5435969
4/14/18	5441886
4/15/18	5447825
4/16/18	5453757
4/17/18	5459592
4/18/18	5465387
4/19/18	5471197
4/20/18	5476912
4/21/18	5482795
4/22/18	5488697
4/23/18	5494473
4/24/18	5500193
4/25/18	5506011
4/26/18	5511878
4/27/18	5517592
4/28/18	5523305
4/29/18	5529138
4/30/18	5534862
5/1/18	5540484
5/2/18	5546196
5/3/18	5551877
5/4/18	5557509
5/5/18	5563250
5/6/18	5569013
5/7/18	5574848
5/8/18	5580582
5/9/18	5586312
5/10/18	5591995
5/11/18	5597746
5/12/18	5603500
5/13/18	5609260
5/14/18	5614898
5/15/18	5620630
5/16/18	5626275
5/17/18	5631979
5/18/18	5637615
5/19/18	5643218
5/20/18	5648860
5/21/18	5654547
5/22/18	5660148
5/23/18	5665803
5/24/18	5671366
5/25/18	5677001
5/26/18	5682720
5/27/18	5688354
5/28/18	5694058
5/29/18	5699707
5/30/18	5705316
5/31/18	5710963
6/1/18	5716587
6/2/18	5722219
6/3/18	5727838
6/4/18	5733510
6/5/18	5739101
6/6/18	5744734
6/7/18	5750373
6/8/18	5756052
6/9/18	5761662
6/10/18	5767303
6/11/18	5772960
6/12/18	5778674
6/13/18	5784426
6/14/18	5790191
6/15/18	5795973
6/16/18	5801844
6/17/18	5807759
6/18/18	5813713
6/19/18	5819515
6/20/18	5825338
6/21/18	5831210
6/22/18	5837030
6/23/18	5842952
6/24/18	5848833
6/25/18	5854498
6/26/18	5860246
6/27/18	5866093
6/28/18	5871855
6/29/18	5877619
6/30/18	5883489
7/1/18	5889326
